ROW;COL;area;mean Intensity;stdev of mean Intensity
3;3;227.797828;103.694003;38.665646
3;4;243.810432;47.339095;19.622814
3;5;254.27432;42.987221;15.876706
3;6;242.38995;46.391545;21.164451
3;7;250.634261;47.060856;17.331506
3;8;242.323169;48.657369;18.908805
3;9;252.322038;44.665906;16.842184
3;10;260.134921;45.583404;18.140518
4;3;230.374659;116.749758;43.875465
4;4;248.996147;47.502472;21.092854
4;5;257.962946;44.090298;18.345225
4;6;240.223039;45.052422;23.821703
4;7;241.344723;49.231132;26.435785
4;8;242.323544;45.651719;17.099158
4;9;253.28293;44.484158;16.447988
4;10;261.11535;43.673861;17.320858
5;3;234.15088;111.498213;40.551544
5;4;248.544782;48.401322;32.439321
5;5;252.770226;44.434833;21.828835
5;6;233.614565;45.663868;20.723173
5;7;235.213577;49.915014;20.970964
5;8;250.147631;44.185068;18.02415
5;9;255.811298;44.474308;18.318048
5;10;259.518536;45.298944;19.914582
6;3;251.9591;46.127808;19.353688
6;4;249.880818;86.044467;29.388903
6;5;243.020258;44.412465;16.560129
6;6;185.14844;65.796193;35.389764
6;7;188.118898;63.788734;39.054587
6;8;251.141276;47.142168;25.095295
6;9;253.821713;47.113821;19.97858
6;10;233.739983;111.647685;37.43146
7;3;234.474175;48.595609;21.927424
7;4;246.070825;88.85082;37.323829
7;5;249.927019;44.078048;18.25182
7;6;182.363092;66.904849;36.329548
7;7;181.374999;65.681659;38.718243
7;8;259.59682;48.042305;27.586353
7;9;250.265824;45.771734;18.396944
7;10;247.59486;109.687519;35.933947
8;3;240.843158;49.679076;21.732523
8;4;258.207106;87.613884;33.004303
8;5;242.509047;46.173976;22.96419
8;6;186.037074;66.06946;36.530845
8;7;184.943168;63.745113;36.94002
8;8;253.101097;47.968042;25.524174
8;9;246.919531;47.36069;17.897801
8;10;245.768083;108.913769;33.374571
