ROW;COL;area;mean;stdev;class
3;3;227.797828;103.694003;38.665646;positiveControl
3;4;243.810432;47.339095;19.622814;negativeControl
3;5;254.27432;42.987221;15.876706;experimental
3;6;242.38995;46.391545;21.164451;experimental
3;7;250.634261;47.060856;17.331506;experimental
3;8;242.323169;48.657369;18.908805;experimental
3;9;252.322038;44.665906;16.842184;experimental
3;10;260.134921;45.583404;18.140518;experimental
4;3;230.374659;116.749758;43.875465;positiveControl
4;4;248.996147;47.502472;21.092854;negativeControl
4;5;257.962946;44.090298;18.345225;experimental
4;6;240.223039;45.052422;23.821703;experimental
4;7;241.344723;49.231132;26.435785;experimental
4;8;242.323544;45.651719;17.099158;experimental
4;9;253.28293;44.484158;16.447988;experimental
4;10;261.11535;43.673861;17.320858;experimental
5;3;234.15088;111.498213;40.551544;positiveControl
5;4;248.544782;48.401322;32.439321;negativeControl
5;5;252.770226;44.434833;21.828835;experimental
5;6;233.614565;45.663868;20.723173;experimental
5;7;235.213577;49.915014;20.970964;experimental
5;8;250.147631;44.185068;18.02415;experimental
5;9;255.811298;44.474308;18.318048;experimental
5;10;259.518536;45.298944;19.914582;experimental
6;3;251.9591;46.127808;19.353688;negativeControl
6;4;249.880818;86.044467;29.388903;positiveControl
6;5;243.020258;44.412465;16.560129;experimental
6;6;185.14844;65.796193;35.389764;experimental
6;7;188.118898;63.788734;39.054587;experimental
6;8;251.141276;47.142168;25.095295;experimental
6;9;253.821713;47.113821;19.97858;experimental
6;10;233.739983;111.647685;37.43146;experimental
7;3;234.474175;48.595609;21.927424;negativeControl
7;4;246.070825;88.85082;37.323829;positiveControl
7;5;249.927019;44.078048;18.25182;experimental
7;6;182.363092;66.904849;36.329548;experimental
7;7;181.374999;65.681659;38.718243;experimental
7;8;259.59682;48.042305;27.586353;experimental
7;9;250.265824;45.771734;18.396944;experimental
7;10;247.59486;109.687519;35.933947;experimental
8;3;240.843158;49.679076;21.732523;negativeControl
8;4;258.207106;87.613884;33.004303;positiveControl
8;5;242.509047;46.173976;22.96419;experimental
8;6;186.037074;66.06946;36.530845;experimental
8;7;184.943168;63.745113;36.94002;experimental
8;8;253.101097;47.968042;25.524174;experimental
8;9;246.919531;47.36069;17.897801;experimental
8;10;245.768083;108.913769;33.374571;experimental
